iter	RMSE
0	10.446896
1	9.78911722
2	9.159630536
3	8.587639768
4	8.077681604
5	7.626707355
6	7.233899861
7	6.901197703
8	6.579820275
9	6.295412178
10	6.063611356
11	5.84901405
12	5.666077214
13	5.503106458
14	5.347061754
15	5.214672779
16	5.09223018
17	4.984745289
18	4.903227816
19	4.820553501
20	4.744416981
21	4.663999428
22	4.589988717
23	4.540917512
24	4.495740676
25	4.440084245
26	4.406203734
27	4.366654057
28	4.328214721
29	4.296754642
30	4.267416757
31	4.234087024
32	4.217628254
33	4.190257629
34	4.166153721
35	4.139450578
36	4.113503376
37	4.099777917
38	4.084503162
39	4.063644623
40	4.041444606
41	4.025799816
42	4.012524283
43	4.007285915
44	3.990545099
45	3.977478309
46	3.961650522
47	3.953291627
48	3.949871145
49	3.931097518
50	3.920173406
51	3.911279274
52	3.908848935
53	3.903865878
54	3.873659047
55	3.857657776
56	3.828393274
57	3.820453137
58	3.812026837
59	3.790409845
60	3.772353735
61	3.7701323
62	3.755024775
63	3.747716608
64	3.741936631
65	3.741596953
66	3.734888647
67	3.714437204
68	3.704958485
69	3.696407009
70	3.691185439
71	3.678128335
72	3.663053912
73	3.65349229
74	3.649336412
75	3.645573604
76	3.636315384
77	3.631499251
78	3.628181864
79	3.613890576
80	3.584072888
81	3.571351458
82	3.55820632
83	3.548508211
84	3.53370633
85	3.531903716
86	3.526042097
87	3.510560818
88	3.509695156
89	3.506133245
90	3.492978157
91	3.487381338
92	3.485575069
93	3.469653595
94	3.453571697
95	3.449430399
96	3.446602261
97	3.434910548
98	3.431362174
99	3.421406641
100	3.408112671
101	3.395775355
102	3.393580677
103	3.392353915
104	3.364393385
105	3.359802926
106	3.358819173
107	3.357533551
108	3.341883514
109	3.326801021
110	3.319851524
111	3.317942195
112	3.31463322
113	3.302679658
114	3.286392493
115	3.279504395
116	3.259267348
117	3.256145058
118	3.236316695
119	3.231781351
120	3.212204761
121	3.197342246
122	3.182879658
123	3.178491732
124	3.160299699
125	3.150212637
126	3.140243392
127	3.124688553
128	3.113444065
129	3.105977265
130	3.099230992
131	3.097083893
132	3.086996521
133	3.083295527
134	3.071615099
135	3.063096345
136	3.060367229
137	3.05802522
138	3.044348253
139	3.031823057
140	3.023123402
141	3.014083448
142	2.99910513
143	2.988517739
144	2.981748559
145	2.979692607
146	2.977391652
147	2.971561388
148	2.970048329
149	2.963697036
150	2.957500503
151	2.951494266
152	2.950520243
153	2.948488853
154	2.947595551
155	2.939228253
156	2.934817066
157	2.918201998
158	2.909893879
159	2.908682611
160	2.907358914
161	2.902370422
162	2.900912176
163	2.899549977
164	2.898235651
165	2.89699497
166	2.895929736
167	2.894725895
168	2.892888597
169	2.883346459
170	2.872830581
171	2.865833892
172	2.857412013
173	2.851087905
174	2.84183346
175	2.839762524
176	2.831930095
177	2.826462705
178	2.813530486
179	2.804339537
180	2.798193123
181	2.793464907
182	2.780781203
183	2.773545442
184	2.768791458
185	2.764225527
186	2.760716445
187	2.759895468
188	2.758431605
189	2.757531924
190	2.756019029
191	2.753240564
192	2.749808294
193	2.739118175
194	2.73492752
195	2.724336272
196	2.721929903
197	2.716034611
198	2.710461032
199	2.701778583
200	2.696433362
201	2.693034599
202	2.68934274
203	2.687735934
204	2.68059459
205	2.67281474
206	2.664547487
207	2.659784038
208	2.654729865
209	2.653907749
210	2.648768983
211	2.647659956
212	2.641654774
213	2.63835874
214	2.63255955
215	2.625371378
216	2.620632504
217	2.614820454
218	2.606716122
219	2.603816242
220	2.598660372
221	2.593500366
222	2.588000842
223	2.578881161
224	2.572078364
225	2.569356756
226	2.562951896
227	2.557804251
228	2.551739189
229	2.549461657
230	2.545593617
231	2.541064547
232	2.534479906
233	2.528888391
234	2.526234779
235	2.519127872
236	2.518022035
237	2.509601009
238	2.506693597
239	2.505883691
240	2.502859286
241	2.501690976
242	2.495099741
243	2.49208884
244	2.491734571
245	2.486885544
246	2.480512202
247	2.473035741
248	2.463327781
249	2.460562399
250	2.454842727
251	2.450370686
252	2.441632779
253	2.434925955
254	2.431435025
255	2.428983129
256	2.42812098
257	2.426221466
258	2.423785172
259	2.421861191
260	2.419574347
261	2.419003241
262	2.415831338
263	2.415305075
264	2.408758658
265	2.407366106
266	2.406876492
267	2.403058532
268	2.398358525
269	2.393284043
270	2.389962479
271	2.386240163
272	2.385177603
273	2.383514729
274	2.382065775
275	2.380538538
276	2.377697482
277	2.377107638
278	2.373654019
279	2.372153399
280	2.366560233
281	2.364113608
282	2.361811299
283	2.357253473
284	2.356465974
285	2.352831882
286	2.347966575
287	2.34426415
288	2.343837533
289	2.342472831
290	2.339938907
291	2.336426689
292	2.33444171
293	2.333336674
294	2.332449435
295	2.32797052
296	2.324765849
297	2.321465446
298	2.315431014
299	2.311341132
300	2.309074167
301	2.30625794
302	2.302436545
303	2.300153758
304	2.298366703
305	2.294291076
306	2.293057209
307	2.28814874
308	2.283264989
309	2.279464808
310	2.27588417
311	2.275237634
312	2.271491276
313	2.266098385
314	2.265417063
315	2.261816308
316	2.260379346
317	2.258270446
318	2.255469921
319	2.252394968
320	2.25219794
321	2.250372183
322	2.247520236
323	2.242816646
324	2.237871438
325	2.234804034
326	2.231993941
327	2.226578056
328	2.224215671
329	2.221865141
330	2.219492575
331	2.219248902
332	2.216468352
333	2.21387913
334	2.211632548
335	2.207745559
336	2.203856543
337	2.203596523
338	2.199404246
339	2.197549751
340	2.197265648
341	2.195516251
342	2.192265177
343	2.192224477
344	2.189605278
345	2.186784318
346	2.185748526
347	2.182237099
348	2.179741018
349	2.179512652
350	2.176695801
351	2.174367495
352	2.172080322
353	2.169874992
354	2.169836291
355	2.167325449
356	2.165305564
357	2.162378263
358	2.159973194
359	2.15641291
360	2.153836289
361	2.151502209
362	2.14867583
363	2.147182296
364	2.144673367
365	2.142136249
366	2.139527739
367	2.137518674
368	2.134230978
369	2.131951672
370	2.126530776
371	2.124517089
372	2.122829334
373	2.120169708
374	2.11743403
375	2.116185838
376	2.113976068
377	2.110518308
378	2.105925988
379	2.104626901
380	2.101866872
381	2.100320396
382	2.098722688
383	2.096741656
384	2.093888699
385	2.093278405
386	2.092068874
387	2.090444253
388	2.088496916
389	2.087039715
390	2.086127309
391	2.083009502
392	2.081410592
393	2.078617702
394	2.076919288
395	2.075357641
396	2.073635304
397	2.072252767
398	2.070337399
399	2.068902602
400	2.065041353
401	2.062528538
402	2.059751007
403	2.05843411
